monto_reclamado,cantidad_siniestros_previos,debt_ratio,bounced_checks,antiguedad_como_cliente_meses,zona_de_riesgo,imagenes_sospechosas,telefono_repetido_con_otro_cliente,proveedor_repetido,historial_fraude_confirmado,credit_score,fraude
40697.0,2,0.1251502412975501,0,59,0,0,0,0,0,739,0
1081241.0,2,0.2560485243075248,1,49,0,0,0,0,0,677,1
93240.0,1,0.0787684752136066,0,91,0,0,0,0,0,464,0
122962.0,1,0.13240478634605612,2,26,0,0,0,1,0,686,0
201045.0,2,0.0714882024118583,1,43,0,0,0,0,0,704,0
325399.0,1,0.10259,3,34,1,0,0,0,0,772,0
610616.0,1,0.11424499553068884,1,79,0,0,0,0,0,685,0
387956.0,1,0.0963424068261977,1,29,0,0,0,0,0,617,0
154188.0,1,0.11829292318083953,1,74,0,0,0,0,0,541,0
161933.0,3,0.15984701438023083,0,29,1,0,0,1,0,694,0
123960.0,1,0.11675837759382426,0,57,1,0,0,0,0,760,0
324879.0,2,0.10400382098873219,0,50,1,0,0,0,0,649,0
113525.0,0,0.1785795739808726,0,40,0,0,0,0,0,779,0
145198.0,0,0.24086843983727513,0,50,0,0,0,0,0,795,0
128825.0,0,0.016800041038268185,0,40,1,0,0,0,0,670,0
228730.0,1,0.10301781020624066,0,128,0,0,1,0,0,618,0
76470.0,1,0.1634678999862687,0,32,0,0,0,0,0,696,0
50109.0,1,0.03760326755808346,0,17,1,0,0,0,0,561,0
109829.0,0,0.09803936824087761,0,15,0,0,0,0,0,529,0
93355.0,2,0.11043619806414659,0,55,1,0,0,0,0,504,0
161778.0,1,0.10888859050507603,0,57,0,0,0,0,0,629,0
302851.0,0,0.0,2,82,0,0,0,0,0,451,0
175682.0,0,0.07053264906792271,0,57,1,0,0,0,0,593,0
83685.0,0,0.07568479657113203,0,54,0,0,0,0,0,682,0
100739.0,2,0.1978598911813106,0,29,1,0,0,1,0,724,0
130486.0,0,0.14438258715352667,1,25,0,0,0,0,0,830,0
316437.0,0,0.23676336648377277,0,32,0,0,0,1,0,808,0
87859.0,1,0.008128153420639411,1,42,0,0,0,0,0,770,0
74755.0,1,0.2409021772926278,0,107,0,0,0,0,0,501,0
416570.0,0,0.1737348412925189,0,92,0,1,1,0,0,604,0
1081241.0,2,0.2560485243075248,1,49,0,0,0,0,0,677,1
203433.0,2,0.18903814326793045,0,39,1,0,0,0,0,579,0
276316.0,1,0.03155531112276693,0,49,1,0,0,0,0,580,0
546158.0,0,0.0729128376766172,0,77,0,0,0,0,0,793,0
88920.0,1,0.10931194429507965,2,64,0,0,1,0,0,810,0
196017.0,2,0.11662132631672836,0,54,0,0,0,0,0,665,0
314368.0,0,0.16884131167295768,1,66,1,0,0,0,0,649,0
109798.0,0,0.0023346195720245493,2,46,1,0,1,0,0,753,0
223249.0,0,0.1638888888888889,2,31,0,0,0,0,0,860,0
71488.0,2,0.08422557552230084,0,48,0,0,0,0,0,555,0
158301.0,1,0.1174511263444583,0,64,0,0,0,0,0,649,0
589896.0,2,0.13420609806838718,0,68,0,1,0,0,0,683,0
72323.0,0,0.0,0,16,0,0,0,0,0,680,0
90307.0,0,0.09155342141878249,0,66,1,0,0,0,0,894,0
797483.0,1,0.10291123042847973,1,74,0,0,0,0,0,674,0
147366.0,0,0.11531452825121805,1,26,0,0,0,0,0,548,0
174142.0,0,0.23979346345499136,2,169,1,0,0,0,0,603,0
30288.0,0,0.0328540731083104,0,65,0,0,0,1,0,757,0
1178772.0,0,0.06532682638272701,0,110,1,0,0,0,0,501,0
354759.0,2,0.20086666666666667,0,84,0,0,0,0,0,749,0
168493.0,2,0.1467809890570786,0,56,0,0,0,0,0,694,0
583812.0,2,0.15432626279049172,0,14,0,0,0,0,0,640,0
131931.0,0,0.0,0,101,0,0,0,0,0,628,0
268380.0,1,0.12417486627143019,2,49,1,0,0,0,0,791,0
137710.0,0,0.09877165400918776,0,72,0,0,0,0,0,672,0
193150.0,1,0.16567367445536357,1,64,0,0,0,0,0,630,0
319700.0,1,0.10751226861107492,0,135,0,1,0,1,0,569,0
141339.0,1,0.0,2,94,1,0,0,0,0,615,0
228653.0,3,0.13032706557323287,0,103,0,0,0,0,0,646,0
114087.0,0,0.10648635991101744,1,59,1,0,0,0,0,784,0
205324.0,2,0.01238687454515419,0,17,1,1,0,0,0,842,0
1081241.0,2,0.2560485243075248,1,49,0,0,0,0,0,677,1
324271.0,0,0.2172342884334319,2,94,0,0,0,0,0,573,1
456340.0,1,0.0,1,79,0,0,0,0,0,832,0
1081241.0,2,0.2560485243075248,1,49,0,0,0,0,0,677,1
183404.0,1,0.06317322794750975,0,35,0,0,0,0,0,532,0
289301.0,1,0.26249331064119086,1,13,0,0,0,0,0,558,0
127269.0,1,0.0,0,46,0,0,0,0,0,580,0
35873.0,1,0.10430495013539397,2,5,0,0,0,0,0,501,0
219274.0,0,0.19149130478098675,1,54,0,0,0,0,0,597,0
60626.0,0,0.2568915731251017,0,44,0,0,0,1,0,739,0
53104.0,0,0.13954547254226551,0,36,0,0,0,0,0,540,0
76729.0,1,0.04102385345361227,1,48,0,0,0,0,0,679,0
313028.0,1,0.12047941070171371,1,17,0,1,1,0,0,280,0
131730.0,0,0.08719158069925953,0,40,1,0,0,0,0,485,0
156285.0,0,0.06396494946387266,0,37,0,0,0,0,0,657,0
307708.0,3,0.10924087005170124,0,96,0,0,0,0,0,784,0
365293.0,0,0.0,0,72,1,0,1,0,0,569,0
78218.0,2,0.0,1,52,0,0,0,0,0,510,0
324271.0,0,0.2172342884334319,2,94,0,0,0,0,0,573,1
202742.0,1,0.207269419481552,1,68,0,0,0,0,0,756,0
357882.0,0,0.1935841637263645,0,89,0,0,0,0,0,709,0
247623.0,1,0.129094084217345,0,44,0,0,0,0,0,653,0
147509.0,0,0.09861173061393459,0,15,1,0,0,0,0,511,0
133687.0,1,0.11708980978012119,0,42,0,0,0,0,0,528,0
126884.0,1,0.10236055359175604,1,73,0,0,0,1,0,746,0
720569.0,1,0.2093162605081704,0,9,1,0,0,0,0,495,0
205647.0,1,0.05609848914222791,0,56,1,0,0,0,0,491,0
309964.0,0,0.0011179170930007466,0,66,1,0,0,0,0,631,0
163896.0,0,0.04977796521868565,0,45,0,0,0,0,0,854,0
224848.0,1,0.19170333333333334,0,79,0,0,1,0,0,498,0
147695.0,0,0.15661297544484362,0,134,1,0,0,0,0,558,0
372536.0,0,0.031121213578999694,0,24,0,1,0,0,0,615,0
305542.0,0,0.009607533466554933,2,21,0,0,0,0,0,627,0
168298.0,1,0.0,0,112,0,0,1,0,0,418,0
